scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,market_exit,MODERATE,"FL_era5_reanalcal_02038,FL_era5_reanalcal_03058","{""FL_era5_reanalcal_02038"": 0.801681204179031, ""FL_era5_reanalcal_03058"": 0.7342478771443514}",256686525.42557013,188851741.20925713,67834784.21631302,44768911.14217003,107069211.28543101,0.0,29304413.830645554,7709204.951010521,44768911.14217003,107069211.28543101,13398368.716475876,54436415.499837145,11.416420780974255,3.0033539696831157,17.441083464722578,41.71204978832332,5.219739795169311,21.20735220112742,29304413.830645554,7709204.951010521,13398368.716475876,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,7709204.951010521,0.0,539937478.65,359958319.1,0.0,13398368.716475876,13398368.716475876,1395853723.0,13398368.716475876,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,market_exit,MODERATE,"FL_era5_reanalcal_00955,FL_era5_reanalcal_00904","{""FL_era5_reanalcal_00955"": 0.7223936388735638, ""FL_era5_reanalcal_00904"": 0.9602696181485115}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,market_exit,MODERATE,"FL_era5_reanalcal_05306,FL_era5_reanalcal_07099","{""FL_era5_reanalcal_05306"": 0.8315043287236806, ""FL_era5_reanalcal_07099"": 0.8584483702458438}",858642367.9617101,733874003.3467785,124768364.61493158,134597625.7935507,377009313.31384075,0.0,130261973.31948683,92005090.91990021,134597625.7935507,377009313.31384075,30869823.818863347,93898540.79606824,15.170690170892623,10.715181821077229,15.675632931212741,43.907606633574936,3.5951899149984574,10.935698528244009,130261973.31948683,92005090.91990021,30869823.818863347,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,30869823.818863347,30869823.818863347,1395853723.0,30869823.818863347,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,474068256.9575481,0.0,6,9464500000.0,9464500000.0,3
year_4,market_exit,MODERATE,"FL_era5_reanalcal_07664,FL_era5_reanalcal_04342","{""FL_era5_reanalcal_07664"": 0.8499792402295013, ""FL_era5_reanalcal_04342"": 0.9562507528392832}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,market_exit,MODERATE,"FL_era5_reanalcal_02751,FL_era5_reanalcal_07934","{""FL_era5_reanalcal_02751"": 0.902164305457654, ""FL_era5_reanalcal_07934"": 0.7296842168898009}",107009396.19492683,78083067.46234563,28926328.732581206,22249197.913305923,26221932.89266091,0.0,16556533.730792696,13055402.925586104,22249197.913305923,26221932.89266091,12875538.045753252,16050790.686827954,15.472037334584659,12.200239782499626,20.791817078172365,24.504327493723448,12.032156524179756,14.999421786840156,16556533.730792696,13055402.925586104,12875538.045753252,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,13055402.925586104,0.0,539937478.65,359958319.1,0.0,12875538.045753252,12875538.045753252,1395853723.0,12875538.045753252,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,market_exit,MODERATE,"FL_era5_reanalcal_05684,FL_era5_reanalcal_08390","{""FL_era5_reanalcal_05684"": 0.8685022282594902, ""FL_era5_reanalcal_08390"": 0.8564480555654514}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,market_exit,MODERATE,FL_era5_reanalcal_02905,"{""FL_era5_reanalcal_02905"": 0.8029923863052799}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,market_exit,MODERATE,"FL_era5_reanalcal_06966,FL_era5_reanalcal_03885","{""FL_era5_reanalcal_06966"": 0.8807056152452823, ""FL_era5_reanalcal_03885"": 0.9765965201673884}",11541826.355441809,10164951.281423595,1376875.0740182148,3795764.6305288486,3818693.535835415,0.0,1540269.0111081093,1010224.1039512228,3795764.6305288486,3818693.535835415,181465.9387649711,1195409.1352532438,13.345106430074596,8.752723120591018,32.88703636352317,33.08569561033948,1.5722463081366014,10.357192167335157,1540269.0111081093,1010224.1039512228,181465.9387649711,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1010224.1039512228,0.0,539937478.65,359958319.1,0.0,181465.9387649711,181465.9387649711,1395853723.0,181465.9387649711,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,market_exit,MODERATE,"FL_era5_reanalcal_02680,FL_era5_reanalcal_01534","{""FL_era5_reanalcal_02680"": 0.7986030887706117, ""FL_era5_reanalcal_01534"": 0.748047283010878}",25420960310.41229,20301257423.41038,5119702887.001907,4665065361.660579,9318979004.338585,0.0,4354276783.900477,1962936273.510738,4665065361.660579,9318979004.338585,938680581.6802193,4181022305.321687,17.128687235772873,7.721723528700565,18.351255439196738,36.658642673390986,3.692545719036982,16.447145403901846,4354276783.900477,1962936273.510738,938680581.6802193,4,1,3,Kin Interinsurance Network;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Kin Interinsurance Network,80088873.18263085,3,1.6734723305307113,1543889.7575731128,0.0,0,1.0,0.0,1543889.757573113,724105222.7080077,539937478.65,359958319.1,539937478.65,359958319.1,0.0,938680581.6802193,938680581.6802193,1395853723.0,938680581.6802193,0.0,False,4501355.528038046,4501355.528038046,0.0,1.0,4501355.528038046,0.0,1190284651.2115061,0.0,10,9464500000.0,9464500000.0,9
year_10,market_exit,MODERATE,FL_era5_reanalcal_07169,"{""FL_era5_reanalcal_07169"": 0.7425538938632975}",18397097.460853282,13660836.355339188,4736261.105514094,4072195.3707273467,2997942.313116916,0.0,2112106.9261269453,4478591.745367981,4072195.3707273467,2997942.313116916,3127352.1388191422,1608908.9666949522,11.480653024865711,24.34401271666828,22.13498830123865,16.295735343557112,16.999160576682034,8.74545003698822,2112106.9261269453,4478591.745367981,3127352.1388191422,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,4478591.745367981,0.0,539937478.65,359958319.1,0.0,3127352.1388191422,3127352.1388191422,1395853723.0,3127352.1388191422,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
